index,oomp_id,quantity,part_number_distributor,price_paid,csv_lcsc
1,oomp_electronic_ic_tqfp_32_mcu_atmega328_microchip_atmega328p_au,1,C14877,$2.43,"C14877,ATMEGA328P-AU,Microchip Tech,,TQFP-32(7x7),32KB 2KB FLASH 23 1.8V~5.5V AVR 20MHz TQFP-32(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,YES,1,1\1,2.431000,2.43"
2,oomp_electronic_pmic_sot_223_linear_1117_5_volt,30,C347223,$0.0394,"C347223,AMS1117-5.0,""UMW(Youtai Semiconductor Co., Ltd.)"",,SOT-223,1A 60dB@(120Hz) Fixed 5V Positive 18V SOT-223  Linear Voltage Regulators (LDO) ROHS,YES,30,10\10,0.039400,1.18"
3,oomp_electronic_ic_sop_16_converter_usb_to_serial_converter_wch_ch340g,5,C14267,$0.48,"C14267,CH340G,WCH(Jiangsu Qin Heng),,SOP-16,2Mbps Transceiver USB 2.0 SOP-16  USB ICs ROHS,YES,5,1\1,0.480500,2.40"
4,oomp_electronic_ic_sop_16_converter_usb_to_serial_converter_wch_ch340c,5,C7464026,$0.54,"C7464026,CH340C,WCH(Jiangsu Qin Heng),,SOP-16,"" SOP-16  USB ICs ROHS"",YES,5,1\1,0.547300,2.74"
5,oomp_electronic_socket_usb_mini_surface_mount_only,5,C14663,$0.12,"C14663,CC0603KRX7R9BB104,YAGEO,,0603,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,4000,100\100,0.001500,6.00
"
6,oomp_electronic_led_0603_red,4000,C965799,$0.0018,"C965799,XL-1608SURC-06,XINGLIGHT,,0603,Colorless transparence -30℃~+85℃ Positive post 617nm~621nm Red 120° 55mW 0603  Light Emitting Diodes (LED) ROHS,YES,4000,100\100,0.001800,7.20"
7,oomp_electronic_led_0603_blue,100,C965807,$0.0037,"C965807,XL-1608UBC-04,XINGLIGHT,,0603,Colorless transparence -30℃~+85℃ Positive post 460nm~469nm blue 120° 80mW 0603  Light Emitting Diodes (LED) ROHS,YES,100,100\100,0.003700,0.37"
8,oomp_electronic_led_0603_green,100,C965804,$0.004,"C965802,XL-1608UYC-06,XINGLIGHT,,0603,Colorless transparence -30℃~+85℃ 589nm~591nm Positive post yellow 120° 55mW 0603  Light Emitting Diodes (LED) ROHS,YES,100,100\100,0.005500,0.55"
9,oomp_electronic_led_0603_yellow,100,C965802,$0.0047,"C965804,XL-1608UGC-04,XINGLIGHT,,0603,Colorless transparence 516nm~525nm -30℃~+85℃ Positive post Emerald 120° 80mW 0603  Light Emitting Diodes (LED) ROHS,YES,100,100\100,0.004000,0.40"
10,oomp_electronic_resistor_0603_1000_ohm,5000,C21190,$0.0006,"C22548,RC0603FR-071KL,YAGEO,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.000600,3.00"
11,oomp_electronic_resistor_0603_10000_ohm,5000,C98220,$0.0007,"C98220,RC0603FR-0710KL,YAGEO,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.000700,3.50"
12,oomp_electronic_button_3_5_mm_x_6_mm_x_2_5_mm_surface_mount,200,C2845294,$0.0192,"C2845294,TC-3601L-2.5-260G,HCTL,,SMD,No NO 50mA 100000 Times 260gf 12V Brick nogging SPST SMD  Tactile Switches ROHS,YES,200,20\20,0.019200,3.84"
13,oomp_electronic_ceramic_resonator_3213_3_pin_ground_pin_2_16_mega_hertz,5,C882605,$0.3616,"C882605,CSTNE16M0VH3C000R0,Murata Electronics,,SMD3213-3P,16MHz ±0.07% 15pF 40Ω SMD3213-3P  Ceramic Resonators ROHS,YES,5,5\5,0.361600,1.81
"
14,oomp_electronic_ceramic_resonator_3213_3_pin_ground_pin_2_12_mega_hertz,5,C341520,$0.2171,"C341520,CSTNE12M0G550000R0,Murata Electronics,,SMD3213-3P,12MHz ±0.5% 33pF 30Ω SMD3213-3P  Ceramic Resonators ROHS,YES,5,5\5,0.217100,1.09
"
15,oomp_electronic_diode_schottky_sod_123_package_marking_b2_mbr0520,100,C77335,$0.0322,"C77335,MBR0520,""Jiangsu Changjing Electronics Technology Co., Ltd."",,SOD-123,20V 450mV@500mA 500mA SOD-123  Schottky Barrier Diodes (SBD) ROHS,YES,100,20\20,0.032200,3.22
"
16,oomp_electronic_capacitor_3216_avx_a_tantalum_4_7_micro_farad_16_volt,50,C7187,$0.0781,"C7187,TAJA475K016RNJ,Kyocera AVX,,CASE-A-3216,4.7uF 16V 4Ω@100kHz ±10% CASE-A-3216  Tantalum Capacitors ROHS,YES,50,5\5,0.078100,3.91
"
17,oomp_electronic_capacitor_0603_100_nano_farad,4000,C14663,$0.0015,"C14663,CC0603KRX7R9BB104,YAGEO,,0603,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,4000,100\100,0.001500,6.00

"
